,labels
170920,0
187887,-1
42653,0
39476,-1
94647,1
186476,0
10132,-1
8807,1
56186,0
191857,-1
147195,0
35898,-1
43811,0
48178,0
18457,1
129517,-1
130474,-1
105920,0
108616,-1
114572,-1
1164,1
87383,-1
211718,0
72700,0
120969,1
26732,1
200775,-1
166116,0
168677,0
131115,-1
13143,-1
50991,-1
164455,0
119791,-1
119867,0
123983,-1
170874,-1
145795,0
188935,-1
138337,-1
83007,-1
40945,1
156483,1
37061,0
93475,-1
82995,1
98148,-1
401,-1
127278,1
117069,0
48734,-1
69485,-1
33774,-1
94875,-1
71572,-1
154567,1
98175,-1
216091,1
7682,1
54950,0
214786,-1
137141,-1
153271,-1
128321,1
152168,1
145171,1
193148,1
62557,1
167130,-1
200479,-1
57164,-1
19424,-1
53553,1
21572,-1
155928,0
209890,-1
172456,-1
52970,-1
127010,-1
191418,1
97779,-1
145617,-1
76083,-1
159704,0
53465,-1
76379,-1
113163,0
1139,1
60200,-1
110543,0
12066,0
157965,1
214101,-1
79099,0
28215,1
132403,-1
95879,1
131370,0
32671,1
131437,1
201443,0
165878,0
78241,1
167740,0
6404,0
133729,1
48234,1
54682,-1
88816,0
49731,1
185553,-1
19429,1
176330,-1
70819,0
214253,0
115755,0
106861,1
129954,-1
170466,0
53929,1
46410,0
108951,1
67333,1
176993,-1
161576,0
200345,-1
127028,-1
106465,1
138962,-1
54924,-1
40243,-1
30904,-1
211704,1
154520,-1
154820,0
203265,1
45090,-1
198122,1
201744,-1
56252,0
82037,1
24012,-1
64241,-1
40996,-1
139257,-1
105990,0
67392,-1
25326,-1
100267,1
211665,-1
214523,-1
133681,0
151565,0
61141,-1
79434,1
115093,0
139588,-1
215636,0
97267,-1
159721,0
27449,-1
161739,1
214769,-1
110486,0
190243,-1
175246,0
13973,0
182272,1
199256,-1
213565,-1
104828,1
144283,0
40388,1
94909,-1
153402,0
12494,0
43494,1
11583,-1
51280,0
116150,1
145,1
71897,-1
140831,1
80241,1
54067,1
200799,0
212750,-1
72093,0
112979,-1
2162,-1
108057,1
42796,-1
72925,0
213607,1
8240,-1
77483,0
121462,0
10574,0
4195,-1
37119,1
187205,-1
208054,-1
135897,-1
213609,1
16613,1
25115,-1
12951,1
103773,0
29977,0
204418,0
201286,-1
132442,-1
41601,-1
151162,-1
194272,0
38861,-1
210401,1
35968,1
109041,0
73422,-1
107471,0
116241,-1
54267,1
73968,0
155347,0
148709,1
75308,-1
89837,1
96304,-1
81130,1
95167,-1
62459,-1
126737,-1
5562,-1
154914,-1
